country,country3,US,color,SPI,GDP_USD_2018,HDIrank,HDIindex,HDI_cat,happiness,genderequality_index,infantmort,birth_MF,sixty_MF,logGDP
Cyprus,CYP,Non US,#545454,81.85,20153871681,32,0.8670238119155721,Very High,5.794618606567383,0.68436099110498,0.0022,80.7,22.8,23.72666224985967
Czechia,CZE,Non US,#545454,83.72,195305e6,27,0.8847752951250055,Very High,6.735627174377441,0.690061221574959,0.0026,79.2,22.1,25.99782827613983
Denmark,DNK,Non US,#545454,89.25,3069e8,11,0.9280172267430499,Very High,7.5577826499938965,0.753507118352294,0.0037,81.2,23.8,26.449787798572103
Djibouti,DJI,Non US,#545454,45.22,1764268469,172,0.47366231809374193,Low,NA,NA,0.053,63.8,17.6,21.29100197626144
Dominica,DMA,Non US,#545454,NA,581484037,103,0.7183648756954577,High,NA,NA,0.0304,NA,NA,20.18109407812745
Dominican Republic,DOM,Non US,#545454,64.92,72342967648,94,0.7326077928147052,High,5.238698482513428,0.675976248603899,0.0256,73.5,22,25.004684086239646
Ecuador,ECU,Non US,#545454,68.86,98613972e3,86,0.7493852156543074,High,6.1154375076293945,0.726199445631791,0.0127,76.5,22.8,25.314478792369915
Egypt,EGY,Non US,#545454,58.28,332928e6,115,0.6939856334162647,Medium,4.556740760803223,0.613648168642465,0.019399999999999997,70.5,16.9,26.531192087332542
El Salvador,SLV,Non US,#545454,64.94,23912227500,121,0.6789223611795083,Medium,6.139824867248535,0.701785305361595,0.0129,73.7,21.9,23.89765577593431
Equatorial Guinea,GNQ,Non US,#545454,NA,11259559879,141,0.5924931095035418,Medium,NA,NA,0.0674,59.5,16.8,23.144483371771475
Eritrea,ERI,Non US,#545454,31.61,NA,179,0.4361570234561582,Low,NA,NA,0.0329,65,16.4,NA
Estonia,EST,Non US,#545454,82.8,23337907619,30,0.8675975481869183,Very High,5.649675369262695,0.746539680845755,0.0023,77.8,22.2,23.873344811928458
Ethiopia,ETH,Non US,#545454,38.79,73000980434,173,0.45669812173396457,Low,4.297848701477051,0.662095909891295,0.0425,65.5,18.1,25.013738708607352
Fiji,FJI,Non US,#545454,64.41,4671313315,92,0.738394855613946,High,NA,NA,0.0211,69.9,17.2,22.26470609285996
Finland,FIN,Non US,#545454,89.38,238678e6,15,0.9176124305396001,Very High,7.659843444824219,0.845046747820689,0.0019,81.4,24.2,26.19838120014504
France,FRA,Non US,#545454,87.74,246513e7,24,0.8992756919459307,Very High,6.475208759307861,0.755010024867116,0.0035,82.9,25.9,28.5332656603693
Gabon,GAB,Non US,#545454,NA,14014278017,110,0.6982772758224051,High,4.831764221191406,NA,0.0361,66.4,18.3,23.363342505216597
Gambia,GMB,Non US,#545454,44.25,962797146.5,174,0.45723379520664537,Low,NA,0.667207411724501,0.0423,61.9,15.3,20.685353300117242
Georgia,GEO,Non US,#545454,69.05,14378016732,70,0.7763982107222726,High,4.448386192321777,0.680937200806602,0.010199999999999999,72.6,18.3,23.38896626122977
Germany,DEU,Non US,#545454,88.69,34778e8,5,0.9341518707655013,Very High,6.873763084411621,0.765615966510235,0.0032,81,23.6,28.877421025894378
Ghana,GHA,Non US,#545454,58.19,42803583022,140,0.5876416123144391,Medium,4.514411449432373,0.705311813848121,0.037200000000000004,63.4,15.7,24.479887651497506
Greece,GRC,Non US,#545454,82.7,192691e6,31,0.8682721803704931,Very High,5.302619457244873,0.679542758472099,0.004200000000000001,81.2,23.9,25.984353706553666
Greenland,GRL,Non US,#545454,NA,2705891617,NA,NA,NA,NA,NA,NA,NA,NA,21.718697313047343
